stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3509,,Main /Page,The stop is located across from S Page Ave Endicott. There is a bus shelter here.,42.09362,-76.072195,,,,,,
3510,,Main/Mather,The stop is located on a telephone pole about 125 feet after Mather St by the Westside Mini-Mart Binghamton,42.100603,-75.925196,,,,,,
3511,,Main/DeHart,The is stop is located at the corner before DeHart Ave.  There is a bus shelter here.,42.094661,-76.068783,,,,,,
3512,,Main/Crandall,The stop is located on a sign post at the corner before Crandall St by the Horizon's Credit Union Binghamton.,42.101586,-75.927139,,,,,,
3513,,Main /Badger,The stop is located on a sign post about 75 feet after Badger Ave near Babcock Endicott,42.095069,-76.065575,,,,,,
3514,,Main/Cedar,The stop is located on a sign post across from Cedar St by AudioMan Binghamton,42.102408,-75.928632,,,,,,
3515,,Main /Liberty,The stop is located about 50 feet before Liberty St near the Rite Aid Endicott.  There is a bus shelter here.,42.094997,-76.064222,,,,,,
3516,,Main/Jarvis,The stop is located on a sign post about 175 feet after Jarvis St near Wendy's Binghamton,42.1032666713242,-75.9301361055766,,,,,,
3517,,Main /Mersereau,The is stop is located at the corner before Mersereau St near the Village West Apts.  There is a bus shelter here.,42.094867,-76.060771,,,,,,
3518,,Main/Schiller,The stop is located on a telephone pole about 185 feet after Hamilton St before the AutoZone Binghamton,42.105134,-75.933501,,,,,,
3519,,Main /Vestal,The stop is located on a telephone pole about 75 feet after Vestal Ave across from the Hess Express Endicott,42.095098,-76.056391,,,,,,
3520,,Main/Orton,The stop is located on a sign post across from Orton Ave in front of Catholic Charities Binghamton.  A bus shelter is here.,42.106294,-75.93563,,,,,,
3521,,Main /Booth,The stop is located on a telephone pole at the corner before Booth Ave by the BCT Credit Union Endicott,42.096599,-76.052508,,,,,,
3522,,Main/Glenwood,The stop is located on a sign post about 135 feet after Glenwood Ave across from CVS Binghamton,42.1074222535089,-75.9376825496985,,,,,,
3523,,Main /Lincoln,The stop is located on a telephone pole about 15 feet before Lincoln Ave near the Union-Endicott Board of Education Endicott,42.097054,-76.05146,,,,,,
3524,,Main/Crestmont,The stop is located on a sign post across from Crestmont Rd in front of Burger King Binghamton,42.108985,-75.940537,,,,,,
3525,,Washington /Main,The stop is located on a sign post about 50 feet after Main St in front of Wendy's Endicott,42.099258,-76.047812,,,,,,
3526,,Main/Crary,The stop is located on a sign post at the crosswalk across from Crary Ave near Cole Muffler Binghamton,42.10997,-75.942308,,,,,,
3527,,Washington /Broad,The stop is located at the corner before Broad St near St Ambrose Church across from the Post Office Endicott,42.10051,-76.047927,,,,,,
3528,,Main/Floral,The stop is located on a sign post after Floral Ave near the Johnson City Arch Johnson City,42.111462,-75.945476,,,,,,
3529,,North/Garfield,The stop is located on a utility pole about 150 feet after Garfield Ave Endicott,42.104999,-76.046616,,,,,,
3530,,Main/Lester,The stop is located on a street lamp pole about 160 feet before Lester Ave by Your Home Library Johnson City,42.11302,-75.949482,,,,,,
3531.1,,North/Kentucky,The stop is located across from Gault Toyota Endicott,42.106552,-76.038232,,,,,,
3531.2,,North/S. Willis,The stop is located near the Endwell Plaza,42.106596,-76.029734,,,,,,
3534,,Main/Willow,The stop is located on a sign post at the corner before Avenue C by Blue Wireless Johnson City,42.114861,-75.954252,,,,,,
3535.1,,Main/Jackson,The stop is located about 125 feet after Jackson Ave Endicott,42.10245,-76.039234,,,,,,
3536,,Main/N Broad,The stop is located on a sign post about 100 feet after Broad St in front The Gold Mine Johnson City,42.115636,-75.956308,,,,,,
3537,,Main/Maryland,The stop is located on a telephone pole before Maryland Ave across from the Laser Car Wash Endicott,42.103448,-76.03633,,,,,,
3538,,Main/Harrison,The stop is located on a telephone pole between the Post Office and Walgreens Johnson City,42.115885,-75.959663,,,,,,
3539,,Main/Louisianna,The stop is located on a sign post at the corner before Louisiana Ave across from Tony's Grill Endicott,42.103821,-76.035182,,,,,,
3540,,Main/NY Penn,The stop is located on a telephone pole across from Allen St by the Southern Tier Spine and Medical Johnson City,42.115787,-75.963471,,,,,,
3541,,Main/Frances,The stop is located on a sign post at the corner before Frances Ave across from AutoZone Endicott,42.105106,-76.031391,,,,,,
3543,,Main/Marion,The stop is located on a telephone pole about 100 feet after Marion Ave across from Little Caeser's Pizza Endwell,42.105749,-76.029479,,,,,,
